2025-07-31 10:32:27,730 - TransformerTrainer - INFO - Epoch 14 - Train Loss: 1.1430 - Val Loss: 1.5899 - Time: 137.63s - Blue_score: 9.79 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-31 10:34:50,103 - TransformerTrainer - INFO - Epoch 15 - Train Loss: 1.0782 - Val Loss: 1.5843 - Time: 137.30s - Blue_score: 9.98 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-31 10:37:11,776 - TransformerTrainer - INFO - Epoch 16 - Train Loss: 1.0163 - Val Loss: 1.5890 - Time: 137.04s - Blue_score: 7.99 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-31 10:39:28,563 - TransformerTrainer - INFO - Epoch 17 - Train Loss: 0.9565 - Val Loss: 1.5931 - Time: 136.79s - Blue_score: 8.02 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-31 10:41:45,405 - TransformerTrainer - INFO - Epoch 18 - Train Loss: 0.9006 - Val Loss: 1.5995 - Time: 136.84s - Blue_score: 9.10 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-31 10:44:02,602 - TransformerTrainer - INFO - Epoch 19 - Train Loss: 0.8451 - Val Loss: 1.6150 - Time: 137.19s - Blue_score: 11.13 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-31 10:46:18,893 - TransformerTrainer - INFO - Epoch 20 - Train Loss: 0.7939 - Val Loss: 1.6377 - Time: 136.29s - Blue_score: 10.08 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-31 10:48:35,838 - TransformerTrainer - INFO - Epoch 21 - Train Loss: 0.7428 - Val Loss: 1.6523 - Time: 136.94s - Blue_score: 9.36 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-31 10:50:52,219 - TransformerTrainer - INFO - Epoch 22 - Train Loss: 0.6950 - Val Loss: 1.6719 - Time: 136.38s - Blue_score: 10.57 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-31 10:53:08,861 - TransformerTrainer - INFO - Epoch 23 - Train Loss: 0.6510 - Val Loss: 1.6981 - Time: 136.64s - Blue_score: 10.15 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
